transaction_id,user_id,amount,payment_method,device_type,mouse_movement_score,geo_location,ip_risk_score,account_age_days,time_of_day,day_of_week,num_prev_transactions,avg_transaction_amount,is_international,is_vpn,fraud_flag
txn_49694,4753,126.76,credit_card,tablet,0.49,New York,0.29,1286,22,Thursday,8,43.39,0,0,0
txn_14093,4631,14.28,debit_card,mobile,0.35,London,0.97,1114,17,Sunday,12,100.22,0,1,0
txn_2864,3632,61.15,debit_card,mobile,0.16,Delhi,0.11,531,1,Friday,6,109.35,0,0,0
txn_39426,3404,157.51,bnpl,tablet,0.2,Bangalore,0.78,1591,3,Sunday,18,102.13,0,0,0
txn_6001,3305,443.67,bnpl,mobile,,Dubai,0.39,181,12,Wednesday,12,102.46,0,0,0
txn_10935,1688,115.61,net_banking,mobile,0.21,New York,0.15,1089,20,Saturday,12,56.86,0,0,0
txn_34717,3988,103.63,wallet,desktop,0.31,London,0.18,1471,2,None,13,55.15,0,0,0
txn_1487,3336,37.27,bnpl,desktop,0.52,Delhi,0.76,1700,17,Monday,14,86.0,0,0,1
txn_10405,2216,33.17,None,mobile,0.5,Dubai,0.34,998,18,Tuesday,9,94.42,0,0,0
txn_49080,1452,42.75,wallet,mobile,0.44,Bangalore,0.11,1747,6,Tuesday,8,33.57,0,0,0
txn_2769,4828,396.62,bnpl,tablet,0.32,London,0.91,1475,15,Friday,7,96.56,0,0,0
txn_15868,1323,118.59,bnpl,mobile,0.43,Dubai,0.15,1974,14,Thursday,8,87.61,0,0,0
txn_37627,2973,129.6,net_banking,tablet,0.57,Delhi,0.83,1272,10,Wednesday,18,52.9,1,0,0
txn_19979,1105,113.05,upi,mobile,0.25,Bangalore,0.39,891,5,Thursday,11,79.7,0,0,0
txn_2456,2013,10.39,credit_card,desktop,0.16,New York,0.76,10,14,Sunday,5,135.92,0,0,0
txn_33028,1785,226.95,debit_card,mobile,0.17,Delhi,0.46,638,7,Monday,9,67.95,0,0,0
txn_22821,1600,11.03,debit_card,desktop,0.49,Bangalore,0.18,1248,6,Saturday,11,69.11,0,0,0
txn_40127,4726,182.94,net_banking,desktop,0.2,Mumbai,0.41,1207,16,Thursday,8,82.9,0,1,0
txn_49564,4234,129.02,credit_card,desktop,0.32,Bangalore,,1829,2,Friday,5,86.17,0,0,0
txn_20074,4291,131.04,debit_card,desktop,0.18,London,0.23,968,16,Monday,6,89.95,1,0,0
txn_32146,1229,2.83,net_banking,mobile,0.44,Delhi,0.12,340,1,Thursday,13,61.08,0,0,0
txn_11742,4942,184.41,upi,tablet,0.2,Bangalore,0.05,776,22,Tuesday,10,51.25,0,1,0
txn_8960,4201,243.64,net_banking,tablet,0.29,Mumbai,0.11,1575,20,Thursday,5,66.72,0,0,0
txn_13356,4629,91.66,wallet,tablet,0.49,None,0.28,1720,3,Monday,8,,0,1,0
txn_25151,4370,150.0,credit_card,desktop,0.09,Delhi,0.95,1316,7,Wednesday,17,71.17,0,0,0
txn_37999,1288,13.67,bnpl,desktop,0.33,Dubai,0.71,795,1,Saturday,10,77.93,0,0,0
txn_2173,1579,251.23,credit_card,tablet,0.4,New York,0.07,1740,16,None,10,76.84,0,0,0
txn_42011,1041,360.98,wallet,desktop,0.38,New York,0.71,301,13,Monday,5,44.49,0,0,0
txn_29939,1133,122.34,debit_card,desktop,0.72,Unknown,0.8,1635,0,Saturday,9,68.73,0,0,0
txn_13092,1669,18.03,net_banking,mobile,0.1,New York,0.1,871,1,Monday,13,58.03,0,0,0
txn_30196,4054,185.73,net_banking,tablet,0.18,New York,0.11,55,13,Saturday,12,106.46,0,0,0
txn_40866,1142,201.06,upi,tablet,0.15,New York,0.17,519,21,Wednesday,11,97.92,0,0,0
txn_40856,4179,169.66,credit_card,tablet,0.23,New York,0.24,1966,9,Monday,9,81.95,0,0,0
txn_11495,4865,0.5,net_banking,desktop,0.43,Delhi,0.0,1382,14,Thursday,11,62.96,0,0,0
txn_43719,4328,43.11,wallet,tablet,0.46,None,0.59,994,13,Sunday,12,,0,1,0
txn_35226,3963,200.12,upi,mobile,0.38,Mumbai,0.34,345,10,Thursday,9,86.81,1,0,0
txn_7946,2131,70.72,bnpl,desktop,0.57,Unknown,0.38,972,2,Tuesday,12,90.21,0,0,0
txn_39061,1268,195.85,wallet,tablet,0.45,New York,0.56,1527,12,Friday,12,79.83,0,0,0
txn_42129,1912,283.14,upi,mobile,0.22,Delhi,0.96,1411,21,Sunday,14,93.4,0,0,0
txn_45198,3359,31.63,upi,desktop,0.23,Unknown,0.84,123,21,Tuesday,11,84.93,0,0,0
txn_26750,1924,209.06,credit_card,tablet,0.28,New York,0.93,1662,20,Monday,9,86.89,0,1,0
txn_10093,4734,26.9,debit_card,tablet,0.58,London,0.47,11,19,Thursday,15,56.27,0,0,0
txn_3472,2120,190.55,bnpl,tablet,0.25,Dubai,0.21,1550,10,Saturday,15,70.55,0,1,0
txn_18532,2088,10.64,wallet,mobile,0.28,None,0.56,1189,5,Sunday,17,109.35,0,0,0
txn_47297,4662,105.06,None,desktop,0.3,New York,0.4,1264,0,Monday,6,41.69,0,0,0
txn_33854,2994,2.41,upi,mobile,0.24,Bangalore,0.36,511,9,Tuesday,9,41.33,0,0,0
txn_18550,2222,133.42,debit_card,desktop,,Mumbai,0.94,1169,23,Thursday,9,76.81,0,0,0
txn_22909,2993,198.72,wallet,desktop,0.11,None,0.44,370,12,Saturday,13,94.12,0,0,0
txn_26721,2869,244.11,credit_card,None,0.34,None,0.59,818,23,Tuesday,10,94.64,0,0,0
txn_13777,1616,112.06,bnpl,tablet,0.02,Unknown,0.37,1366,14,Saturday,11,69.18,1,0,0
txn_12705,3141,6.58,bnpl,mobile,0.32,New York,0.31,400,17,Tuesday,8,52.89,0,0,0
txn_1880,4850,72.61,debit_card,mobile,0.2,Bangalore,0.94,1425,22,Thursday,10,132.42,0,0,0
txn_22917,2310,160.58,wallet,mobile,0.2,Dubai,0.04,377,21,Tuesday,12,65.58,0,0,0
txn_23281,1785,107.99,credit_card,desktop,0.58,None,0.8,1470,13,Friday,10,83.59,0,0,0
txn_40985,2149,7.12,debit_card,tablet,0.12,Unknown,0.52,832,22,Saturday,12,79.66,0,1,0
txn_8007,1200,24.66,wallet,desktop,0.52,Dubai,0.27,791,22,Tuesday,10,82.9,0,0,0
txn_43410,1343,48.51,bnpl,tablet,0.31,None,0.95,832,15,Monday,7,80.99,0,1,0
txn_20710,4973,12.23,upi,mobile,0.2,Unknown,0.79,419,18,Saturday,10,58.92,0,0,0
txn_17468,2329,31.05,bnpl,desktop,0.28,Mumbai,0.14,215,2,Monday,6,77.69,0,0,0
txn_16169,2207,13.77,debit_card,mobile,0.46,New York,0.95,1769,20,Friday,8,98.42,0,0,0
txn_31410,2739,207.73,wallet,desktop,0.16,Delhi,0.44,1150,23,Monday,10,95.36,0,0,0
txn_43663,2800,154.36,upi,mobile,0.28,Dubai,0.19,524,8,Saturday,14,,0,0,0
txn_2907,3338,69.06,credit_card,mobile,0.41,Dubai,0.78,211,20,None,7,58.69,0,0,0
txn_45723,1259,30.8,debit_card,mobile,0.12,London,0.84,1923,6,Monday,6,,1,0,0
txn_22438,2374,105.43,wallet,None,0.14,Unknown,0.49,1361,15,Friday,4,86.29,0,0,0
txn_47214,3114,92.95,wallet,desktop,0.45,Mumbai,0.15,121,13,Wednesday,10,75.73,0,0,0
txn_37529,4972,223.51,credit_card,tablet,0.12,New York,0.36,1479,7,Wednesday,9,93.74,0,0,0
txn_17300,4103,179.69,credit_card,tablet,0.24,London,0.13,1903,12,Friday,13,72.66,1,0,0
txn_6741,1287,145.51,bnpl,mobile,0.2,New York,0.86,22,2,Wednesday,13,108.32,0,0,0
txn_2003,3419,137.78,wallet,desktop,0.07,Dubai,0.68,1566,5,Friday,7,92.66,1,0,0
txn_43576,3150,14.26,debit_card,desktop,0.36,Delhi,0.07,257,14,Friday,9,81.26,0,0,0
txn_39543,1391,377.76,debit_card,desktop,0.12,None,0.2,1586,8,Saturday,11,60.98,0,0,0
txn_40740,3593,50.78,upi,mobile,0.26,London,0.62,1839,6,Wednesday,8,92.18,0,0,0
txn_10849,1564,64.57,credit_card,tablet,0.3,Dubai,0.55,532,20,None,7,82.81,0,0,0
txn_27413,3620,263.45,wallet,mobile,0.17,Bangalore,0.5,75,10,None,7,43.58,1,0,0
txn_42240,1855,308.71,credit_card,mobile,0.3,Bangalore,0.65,678,19,Saturday,11,79.87,0,0,0
txn_35117,3082,252.68,net_banking,tablet,0.37,London,0.26,901,17,Friday,6,75.49,0,0,0
txn_32004,1948,69.5,credit_card,tablet,0.47,None,0.15,1175,19,Sunday,5,70.06,1,0,0
txn_47598,4465,3.1,credit_card,mobile,0.14,New York,,1846,17,Friday,11,56.53,0,0,0
txn_3710,3281,106.21,net_banking,tablet,0.29,New York,0.2,1317,18,Sunday,9,73.93,0,0,0
txn_24208,3403,23.02,credit_card,tablet,0.26,New York,0.57,440,23,Friday,6,125.04,0,0,0
txn_43783,3331,40.48,bnpl,tablet,0.05,London,0.12,895,11,Sunday,5,114.09,0,0,0
txn_6276,1494,6.58,credit_card,None,0.34,Mumbai,0.71,672,19,Friday,9,95.64,0,1,0
txn_27482,2401,57.93,bnpl,desktop,0.12,London,0.46,450,8,Thursday,7,80.8,0,0,0
txn_47876,1795,26.93,None,tablet,,Mumbai,,1656,21,Friday,10,60.61,0,1,0
txn_7528,1555,131.67,wallet,mobile,0.33,Unknown,0.93,426,8,Monday,5,66.55,0,0,0
txn_28304,4812,4.64,upi,tablet,,Mumbai,,44,3,Wednesday,13,88.41,0,0,0
txn_35,3300,233.49,debit_card,tablet,0.32,New York,0.01,277,2,Saturday,6,62.04,0,0,1
txn_31058,3788,191.61,wallet,desktop,0.13,None,0.07,1418,16,Wednesday,14,53.42,0,0,0
txn_33152,3475,215.28,bnpl,tablet,0.15,Unknown,0.86,24,13,Thursday,12,78.01,0,0,0
txn_28210,2566,184.53,debit_card,mobile,0.05,London,0.92,1040,8,Sunday,9,86.32,0,0,0
txn_31879,3109,16.26,net_banking,mobile,0.17,Delhi,0.66,449,23,Monday,9,62.13,0,1,0
txn_39659,2883,23.45,net_banking,tablet,0.4,New York,,810,3,Saturday,13,97.94,0,0,0
txn_15862,4478,81.3,debit_card,mobile,0.54,Unknown,0.44,834,14,Thursday,6,117.99,0,0,0
txn_23757,4014,118.14,bnpl,tablet,0.24,Dubai,0.0,329,23,Thursday,11,73.81,0,1,0
txn_29847,4528,231.46,net_banking,None,0.32,Bangalore,0.02,1140,19,Saturday,4,87.44,0,0,0
txn_25403,1403,200.33,bnpl,tablet,0.09,New York,0.69,232,6,Friday,11,58.9,0,0,0
txn_21213,4530,28.45,None,tablet,0.63,London,0.07,1358,3,Saturday,8,60.45,0,0,0
txn_27534,4936,226.84,wallet,None,0.57,Bangalore,0.01,218,12,Friday,11,59.81,1,1,0
txn_29841,3245,21.37,upi,mobile,0.27,Unknown,0.4,79,20,Thursday,9,90.8,0,1,0
txn_4988,2146,37.48,net_banking,tablet,0.1,London,0.21,1844,18,Monday,13,118.77,0,0,0
txn_9643,3497,17.62,upi,desktop,0.18,New York,0.92,1728,13,Monday,18,140.94,0,0,0
txn_1732,4489,66.76,credit_card,desktop,0.33,Unknown,0.84,1766,11,Tuesday,7,70.23,0,0,0
txn_21383,4530,10.29,upi,mobile,0.14,Dubai,0.39,1603,22,Thursday,12,89.75,0,0,0
txn_38078,3414,137.02,bnpl,tablet,0.01,London,0.58,783,12,Saturday,11,85.07,0,1,0
txn_31555,1575,49.69,bnpl,mobile,0.09,Dubai,0.93,797,17,Saturday,7,87.37,0,0,0
txn_10597,1907,28.17,None,mobile,0.37,London,0.83,1426,12,Friday,6,59.18,0,0,0
txn_45492,4631,8.46,wallet,tablet,0.03,Mumbai,0.24,909,14,Sunday,6,119.89,0,0,0
txn_33334,2008,204.7,wallet,tablet,0.22,New York,0.19,1691,4,Sunday,11,39.52,0,0,0
txn_32916,3605,28.6,debit_card,desktop,0.33,New York,0.56,1816,23,Sunday,8,69.84,0,1,0
txn_40512,2965,40.58,net_banking,mobile,0.45,New York,0.42,1185,23,Sunday,13,,0,0,0
txn_30997,3765,151.03,None,desktop,0.18,London,0.57,293,4,Sunday,10,62.1,0,0,0
txn_32478,4102,2064.92,wallet,None,0.49,Dubai,0.84,634,13,Tuesday,14,94.87,0,0,0
txn_43087,4060,3.86,upi,mobile,0.2,Mumbai,0.08,906,1,Thursday,9,78.29,0,0,0
txn_13940,4359,332.13,None,tablet,0.24,Mumbai,0.41,537,23,None,16,77.06,0,0,0
txn_41945,3832,2.12,bnpl,mobile,0.34,London,0.0,1377,6,Wednesday,11,71.03,0,0,0
txn_44781,2698,94.53,debit_card,desktop,0.01,Dubai,0.84,1938,23,Tuesday,7,74.61,0,0,0
txn_18125,1390,39.06,wallet,desktop,0.2,Unknown,,1515,20,Wednesday,10,62.49,0,0,0
txn_14552,4304,63.16,upi,tablet,0.53,Mumbai,0.14,531,10,None,10,80.62,1,0,0
txn_1344,3373,26.53,net_banking,tablet,0.06,Delhi,0.67,856,12,None,13,84.26,0,0,1
txn_23076,2954,64.69,wallet,desktop,0.03,Mumbai,0.08,121,1,Friday,15,91.05,0,0,0
txn_32204,3265,1.77,upi,tablet,0.45,Unknown,0.8,1248,3,Thursday,7,106.51,0,0,0
txn_27455,4621,80.68,debit_card,mobile,0.24,None,0.76,12,16,Tuesday,9,91.17,0,0,0
txn_11355,4762,216.5,upi,tablet,0.17,Dubai,0.25,1155,4,Saturday,19,74.21,0,0,0
txn_15720,2479,155.68,upi,tablet,0.36,Mumbai,0.95,584,19,Thursday,9,79.82,0,0,0
txn_13637,1661,65.73,bnpl,tablet,0.27,Unknown,0.33,1538,7,Wednesday,12,54.81,0,0,0
txn_13290,3956,111.88,debit_card,mobile,0.42,Mumbai,0.28,634,15,Thursday,10,44.71,0,0,0
txn_35004,1607,88.04,credit_card,tablet,0.44,London,0.53,1816,5,Sunday,7,58.03,0,0,0
txn_37882,2645,40.63,credit_card,desktop,0.25,Mumbai,0.89,1615,8,Thursday,12,108.92,0,0,0
txn_46852,4864,49.25,wallet,tablet,0.35,Dubai,0.81,1037,4,Sunday,7,41.7,0,0,0
txn_21335,2787,69.13,credit_card,tablet,0.14,Unknown,0.51,400,2,Friday,7,70.69,0,0,0
txn_39799,4166,328.92,wallet,desktop,0.19,Bangalore,0.39,92,0,Sunday,6,69.06,0,1,0
txn_33413,3156,206.54,debit_card,tablet,,Mumbai,0.17,486,14,Wednesday,7,73.62,0,0,0
txn_15260,1742,219.63,net_banking,mobile,0.26,Delhi,0.6,942,18,Wednesday,11,81.08,1,0,0
txn_9272,1471,169.65,debit_card,mobile,0.41,Unknown,0.41,927,6,Thursday,10,47.1,1,0,0
txn_38247,3093,234.66,upi,None,0.48,None,0.17,484,3,Sunday,14,74.67,0,0,0
txn_16795,4331,56.85,bnpl,tablet,0.3,Unknown,0.76,987,10,None,12,79.3,0,0,0
txn_29558,1864,48.2,credit_card,tablet,0.55,Delhi,0.51,678,3,Saturday,8,69.63,0,0,0
txn_15139,1809,67.71,net_banking,mobile,0.23,Bangalore,0.67,683,17,Friday,10,67.77,1,0,0
txn_14302,1737,106.83,bnpl,desktop,0.62,New York,0.21,1479,23,Monday,11,86.76,0,0,0
txn_268,2495,75.62,net_banking,desktop,0.44,Bangalore,0.39,392,6,Monday,6,64.81,0,0,1
txn_7338,1128,125.07,bnpl,None,0.26,Unknown,0.83,387,4,Monday,6,77.06,0,0,0
txn_3946,4726,146.38,net_banking,mobile,0.22,Delhi,0.06,1827,1,None,23,74.26,0,0,0
txn_26711,4912,34.17,net_banking,tablet,0.2,Unknown,0.42,358,1,Friday,7,118.56,0,0,0
txn_8228,3482,85.99,credit_card,desktop,0.43,Mumbai,0.94,719,21,Monday,12,100.14,0,0,0
txn_48012,3011,129.43,debit_card,mobile,,New York,0.89,1129,23,Monday,10,96.98,0,1,0
txn_33134,3765,255.45,wallet,tablet,0.3,Dubai,0.49,850,19,Thursday,10,51.98,0,0,0
txn_32405,4824,55.45,wallet,desktop,0.33,Delhi,0.71,1552,16,Friday,9,79.96,0,1,0
txn_47927,3682,62.82,None,tablet,0.23,New York,0.02,254,12,Friday,16,49.56,0,0,0
txn_18827,4395,83.07,credit_card,tablet,0.01,Delhi,0.5,383,6,Sunday,8,41.91,0,0,0
txn_1290,4812,137.56,credit_card,tablet,0.42,London,0.09,1677,6,Wednesday,15,55.24,0,0,1
txn_17887,4046,60.07,wallet,desktop,0.44,New York,0.78,1116,17,None,11,78.13,0,0,0
txn_48292,3641,63.16,upi,mobile,0.11,Mumbai,0.52,1262,21,Monday,10,,0,0,0
txn_42277,1001,59.44,debit_card,desktop,0.03,Dubai,0.5,1808,7,Wednesday,6,70.89,0,0,0
txn_6647,2675,15.19,net_banking,mobile,,London,0.3,1684,10,Saturday,9,101.41,0,0,0
txn_13473,3465,12.39,upi,mobile,0.23,Unknown,0.28,1909,20,Tuesday,9,85.6,1,0,0
txn_26323,2627,67.95,credit_card,desktop,0.27,London,0.68,1222,21,Wednesday,14,58.61,0,0,0
txn_11197,3115,102.28,upi,tablet,0.04,Bangalore,0.53,230,16,Monday,7,58.41,0,1,0
txn_24591,2119,33.99,credit_card,desktop,0.05,London,0.57,425,2,Tuesday,12,104.09,0,1,0
txn_16679,2208,105.93,bnpl,mobile,0.23,None,0.66,283,11,Thursday,12,92.12,0,1,0
txn_5994,1559,209.88,upi,mobile,0.09,Mumbai,,1739,6,Monday,7,114.4,0,0,0
txn_28159,4979,154.88,bnpl,desktop,0.1,Dubai,,452,21,Wednesday,7,69.88,0,0,0
txn_6182,4907,34.87,upi,mobile,0.46,New York,0.22,726,17,Thursday,13,88.67,0,0,0
txn_33020,2563,46.55,debit_card,tablet,,Bangalore,0.31,307,9,Wednesday,7,48.62,0,0,0
txn_22021,1143,220.02,bnpl,desktop,0.05,Unknown,0.33,1274,5,Wednesday,10,75.0,0,0,0
txn_32384,4241,55.96,credit_card,mobile,,Mumbai,0.88,1235,14,Monday,10,83.39,0,0,0
txn_21777,1545,87.76,bnpl,desktop,0.08,None,0.59,1331,2,Wednesday,8,74.87,0,0,0
txn_12803,3916,105.32,bnpl,desktop,0.13,Dubai,0.41,470,12,Sunday,7,34.53,0,1,0
txn_30492,2630,31.27,net_banking,desktop,0.21,Bangalore,0.43,1705,14,Thursday,13,100.67,0,0,0
txn_42987,3515,266.42,net_banking,mobile,0.33,Mumbai,0.5,297,5,Monday,6,79.03,1,0,0
txn_42075,4887,98.49,bnpl,mobile,0.28,None,0.34,1855,4,Tuesday,14,93.07,0,0,0
txn_36216,1822,100.13,net_banking,mobile,0.16,Bangalore,0.83,1075,11,Friday,19,97.02,0,0,0
txn_35219,1763,40.94,credit_card,tablet,0.16,New York,0.7,1083,17,Friday,7,66.69,1,0,0
txn_46086,3567,88.2,bnpl,tablet,,Delhi,0.19,941,4,Monday,6,82.6,0,0,0
txn_43589,2693,104.7,wallet,tablet,0.31,London,0.5,1499,2,Thursday,15,81.7,0,0,0
txn_5090,4797,1892.59,debit_card,desktop,0.13,London,0.07,199,14,Saturday,5,63.85,0,1,0
txn_43753,4748,13.31,debit_card,tablet,0.28,Delhi,0.34,1292,21,Monday,10,95.14,0,0,0
txn_8645,4608,41.81,net_banking,desktop,0.28,New York,0.15,1070,14,Sunday,18,80.5,0,0,0
txn_24054,2887,145.67,debit_card,mobile,0.17,Unknown,0.49,1582,9,Thursday,8,103.05,0,0,0
txn_9156,2907,3.16,upi,tablet,0.1,Mumbai,0.82,933,22,Wednesday,9,,0,0,0
txn_18402,4632,34.38,upi,None,0.34,New York,0.75,1641,6,Saturday,6,97.92,0,0,0
txn_48309,1766,44.54,bnpl,mobile,0.18,London,0.9,858,4,Saturday,9,104.29,0,0,0
txn_28945,1299,244.5,wallet,mobile,0.37,Bangalore,0.06,1889,6,Thursday,6,68.34,0,0,0
txn_44608,3471,173.64,upi,tablet,0.48,Bangalore,0.9,1392,16,Tuesday,11,74.04,0,0,0
txn_39786,3233,95.02,debit_card,mobile,0.18,Delhi,0.59,1565,14,Wednesday,7,97.54,0,0,0
txn_5191,1648,2.7,upi,desktop,0.11,Dubai,0.95,1556,9,Sunday,13,60.81,0,0,0
txn_47526,4738,267.19,credit_card,mobile,0.2,Dubai,0.12,702,9,None,10,102.5,0,0,0
txn_38419,2569,18.68,net_banking,desktop,0.44,New York,0.95,1950,2,Tuesday,11,115.86,0,1,0
txn_14695,1690,231.12,net_banking,mobile,0.21,Dubai,0.47,1857,3,Tuesday,8,104.97,0,0,0
txn_11291,1753,166.66,debit_card,mobile,0.21,Unknown,0.01,98,19,Friday,12,82.77,0,0,0
txn_1276,3642,27.34,credit_card,desktop,0.18,Mumbai,0.63,593,13,Thursday,6,77.19,0,0,1
txn_5821,1758,67.99,credit_card,desktop,0.6,Dubai,0.41,98,21,Friday,9,,0,1,0
txn_39278,1381,71.85,credit_card,desktop,0.4,New York,0.8,1022,10,Sunday,13,146.12,0,0,0
txn_20492,3922,433.28,credit_card,None,0.31,London,0.39,21,21,Saturday,14,72.48,0,0,0
txn_41098,3853,144.96,net_banking,desktop,0.25,Dubai,0.84,1923,23,Wednesday,14,72.71,0,0,0
txn_10992,2471,21.75,wallet,mobile,0.73,Unknown,0.76,1160,0,Saturday,12,95.63,0,0,0
txn_32458,3469,83.7,upi,tablet,0.39,Unknown,0.25,1750,8,Tuesday,10,91.23,0,0,0
txn_42735,1939,249.59,wallet,mobile,0.56,Unknown,0.62,828,17,Saturday,8,77.66,0,0,0
txn_49276,3987,76.77,upi,tablet,0.24,Mumbai,0.23,1413,14,Friday,7,86.97,1,0,0
txn_17810,1246,93.5,upi,None,0.49,New York,0.68,729,1,Wednesday,11,101.5,0,0,0
txn_16615,2118,14.89,net_banking,tablet,0.11,Unknown,0.36,977,22,Monday,12,85.29,0,0,0
txn_30556,2526,9.64,credit_card,mobile,0.2,London,0.69,1636,7,Sunday,18,82.02,0,0,0
txn_23925,3840,154.77,credit_card,tablet,,None,0.88,896,20,Monday,10,82.89,0,0,0
txn_30349,4201,24.17,credit_card,tablet,0.18,Mumbai,0.95,271,19,Tuesday,10,52.67,0,1,0
txn_19188,1164,69.68,credit_card,mobile,0.4,None,0.29,1013,17,None,13,,0,0,0
txn_40631,1081,44.92,bnpl,mobile,0.32,Bangalore,0.56,1385,21,Saturday,12,90.54,0,0,0
